"job_title","job_title_short","job_location","search_location","job_schedule_type","job_no_degree_mention","job_health_insurance","salary_year_avg","company_name"
"Sales Ops Data Analyst (Remote)","Data Analyst","Anywhere","California, United States","Full-time","",1,"122000.0","CloudFlare"
"Sales Ops Data Analyst (Austin, TX or Remote)","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"122000.0","Cloudflare"
"Business Intelligence Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"120000.0","LAI"
"Lifeforce: Data Analyst (Remote)","Data Analyst","Anywhere","New York, United States","Full-time","","","120000.0","M13"
"Data Architect","Data Analyst","Anywhere","Canada","Full-time",1,"","120000.0","Motion Recruitment"
"Data Analytics Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"120000.0","Get It Recruit - Information Technology"
"Business Data Analyst","Data Analyst","Anywhere","Georgia","Contractor",1,"","120000.0","Robert Half"
"Risk Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"119908.0","US Development Finance Corporation (formerly Overseas Private Investment Corporation)"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"119200.0","CVS Health"
"Data Analyst - Predictive Modeling","Data Analyst","Anywhere","New York, United States","Full-time","",1,"119200.0","CVS Health"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"117713.0","Get It Recruit - Healthcare"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time",1,"","117500.0","Jobot"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"117000.0","Get It Recruit - Information Technology"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","","","115791.5","Kern Health Systems"
"BI Data Analyst IV","Data Analyst","Anywhere","California, United States","Full-time","","","115791.5","Kern Health Systems"
"BI Data Analyst IV","Data Analyst","Anywhere","California, United States","Full-time","","","115791.5","Kern Health Systems"
"Business Data Analyst","Data Analyst","Anywhere","Georgia","Contractor",1,"","115000.0","Robert Half"
"Data Analyst- REMOTE","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"115000.0","General Dynamics Information Technology"
"Data/Information Architect","Data Analyst","Anywhere","Georgia","Full-time",1,1,"115000.0","Robert Half"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","","","115000.0","Lighthouse Professional Services"
"QNXT/TriZetto Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"115000.0","Medasource"
"Data Analyst","Data Analyst","Anywhere","Georgia","Full-time",1,1,"115000.0","ManyPets"
"Data Analyst","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"115000.0","Get It Recruit - Information Technology"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","","","115000.0","Robert Half"
"Behavioral Health Data Analyst","Data Analyst","Anywhere","Georgia","Full-time","","","114956.5","ICF"
"Healthcare Analytics Expert","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"114948.0","Get It Recruit - Healthcare"
"Behavioral Health Data Analyst","Data Analyst","Anywhere","Georgia","Full-time","","","114805.0","ICF"
"Data Analyst, Global Business Development","Data Analyst","Anywhere","California, United States","Full-time","",1,"114000.0","Uber"
"Technical Business/Data Analyst (REMOTE)","Data Analyst","Anywhere","New York, United States","Full-time","",1,"113500.0","GEICO"
"Data Analyst, Customer Success (Chicago, IL or Remote)","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"112850.0","Square"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"112661.0","Get It Recruit - Healthcare"
"Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time","","","112500.0","InvestM Technology LLC"
"Experian Data Analyst Remote / Telecommute Jobs","Data Analyst","Anywhere","New York, United States","Full-time","","","112500.0","Seneca Resources, LLC"
"Data Engineer/Data Analyst","Data Analyst","Anywhere","Florida, United States","Full-time","",1,"112500.0","Segue Technologies Inc"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"112500.0","Get It Recruit - Information Technology"
"Data Analyst Remote / Telecommute Jobs","Data Analyst","Anywhere","New York, United States","Full-time","","","112500.0","Paratus Solutions LLC"
"Data Analyst (Remote)","Data Analyst","Anywhere","California, United States","Full-time","",1,"112050.0","Cisco Meraki"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time and Part-time","",1,"111500.0","IBM"
"Retail Systems Data Analyst","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"110000.0","Get It Recruit - Information Technology"
"Data Analyst III","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"110000.0","CREDITSERVE INC"
"Energy Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"110000.0","DNV"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"110000.0","Get It Recruit - Real Estate"
"Data Analyst - Remote","Data Analyst","Anywhere","California, United States","Full-time","",1,"110000.0","Cava Connect"
"Medicaid Data Analyst","Data Analyst","Anywhere","Texas, United States","Contractor","","","110000.0","Apex Systems"
"Data Analyst III","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"110000.0","CREDITSERVE INC"
"Master Data Analyst","Data Analyst","Anywhere","Florida, United States","Full-time","",1,"110000.0","Executive Search Partners LLC"
"Data Analyst","Data Analyst","Anywhere","Illinois, United States","Contractor","","","110000.0","Convergenz"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"110000.0","Get It Recruit - Finance"
"Data Analyst","Data Analyst","Anywhere","Georgia","Full-time","","","110000.0","Insight Global"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"110000.0","Trinity Solar Careers"
"Data Analyst","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"110000.0","Get It Recruit - Transportation"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"110000.0","Get It Recruit - Finance"
"SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","Data Analyst","Anywhere","Illinois, United States","Full-time",1,1,"110000.0","Robert Half"
"Data Analyst","Data Analyst","Anywhere","Sudan","Contractor",1,"","110000.0","Insight Global"
"Master Data Analyst","Data Analyst","Anywhere","Florida, United States","Full-time","",1,"110000.0","Executive Search Partners LLC"
"EDI Data Analyst/Business Systems Analyst III  (Great Place to...","Data Analyst","Anywhere","Illinois, United States","Full-time","","","109600.0","Paradigm"
"Portfolio Data Analyst (Remote)","Data Analyst","Anywhere","New York, United States","Full-time",1,1,"108500.0","Addepar"
"REMOTE PowerBI Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time","","","107500.0","Insight Global"
"Data Analyst - Remote","Data Analyst","Anywhere","Illinois, United States","Full-time","","","107500.0","Dice"
"Data and Process Modeling Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"107500.0","Get It Recruit - Hospitality"
"Data Analyst, Finance and Accounting (Remote)","Data Analyst","Anywhere","New York, United States","Full-time","",1,"107500.0","Rhino"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time",1,"","107500.0","CODING DOJO INC."
"IT Data Analyst - Remote | WFH","Data Analyst","Anywhere","New York, United States","Full-time","","","107500.0","Get It Recruit - Information Technology"
